Coven #,curve_type,circulating_supply,bonding_curve_backing,ch_treasury,dao_treasury,buys,sales,target_supply,target_price,beyond_supply,beyond_price,linear_slope,quadratic_coefficient,exponential_coefficient,exponential_intercept
1,Quadratic,1,209.63693625598358,528.130253212396,68538.54532669742,17,16,379,5325,403,15975,13.523809523809524,0.03577727387251197,0.5689102564102564,-75963.17307692308
2,Quadratic,10,1379.366020402713,374.49227687870524,68538.54532669742,23,13,238,3425,255,10275,13.873417721518987,0.05853762751695775,0.8206541272313406,-42670.32167245717
3,Fixed,3,723,524.1749999999998,68538.54532669742,16,13,299,6025,319,18075,19.409395973154364,0.06513220125219585,0.9780844155844156,-80832.80844155845
4,Quadratic,4,697.0117319465198,604.8061055260948,68538.54532669742,25,21,443,4375,470,13125,9.502262443438914,0.02149833131999754,0.3557344391592471,-65122.70297190714
5,Linear,10,2141.103448275863,602.2965517241379,68538.54532669742,19,9,59,2150,67,6450,35.58620689655172,0.6135552913198573,4.334677419354839,-12431.854838709678
6,Fixed,7,196,86.09999999999997,68538.54532669742,24,17,263,700,281,2100,2.564885496183206,0.009789639298409184,0.14350143501435014,-9150.51250512505
7,Fixed,14,1274,204.74999999999991,68538.54532669742,22,8,411,2275,437,6825,5.326829268292683,0.012992266508030934,0.20685579196217493,-32497.458628841603
8,Fixed,16,688,141.8999999999999,68538.54532669742,30,14,315,1075,336,3225,3.286624203821656,0.010466956063126294,0.1577518526671069,-14478.701665566072
9,Fixed,9,981,384.2250000000003,68538.54532669742,28,19,655,2725,693,8175,4.0,0.0061162079510703364,0.10655353092985063,-42849.650035192
10,Fixed,3,129,119.32499999999992,68538.54532669742,20,17,162,1075,175,3225,6.409937888198757,0.03981327880868794,0.4936854190585534,-11721.819747416763
11,Linear,10,902.3287128712873,269.23900990099014,68538.54532669742,22,12,506,1950,536,5850,3.706930693069307,0.007340456817959024,0.125,-29928.125
12,Linear,8,810.0204778156998,306.0737201365187,68538.54532669742,20,12,294,2175,314,6525,7.126279863481229,0.02432177427809293,0.3589108910891089,-28637.14108910891
13,Quadratic,2,452.4117884870841,681.4000495037249,68538.54532669742,21,19,604,5675,639,17025,9.034825870646767,0.014983127480342896,0.2613100034534362,-89339.66904570047
14,Quadratic,4,961.6077061224488,723.8373028571428,68538.54532669742,22,18,526,6025,557,18075,11.017142857142858,0.020985034013605443,0.3595834203694309,-93085.1802393244
15,Quadratic,6,515.7649999999999,227.21137500000006,68538.54532669742,20,14,121,2175,132,6525,17.4,0.145,1.5755161173487866,-20512.432089822527
